candidate,fold,start,end,n_months,sharpe,average_monthly_turnover,max_drawdown,selection_score
conservative,1,2010-01-01,2012-12-31,36,0.2317552432188203,0.8386645392598371,-0.05666626598149538,0.00792254190848718
conservative,2,2014-01-01,2016-12-31,36,0.07547667258034116,0.8311361750451883,-0.07937910943790538,-0.15215214854043227
conservative,3,2018-01-01,2019-12-31,24,-0.3258348576890059,0.7239456216179126,-0.09785702819089526,-0.5312855201412079
conservative,median,2010-01-01,2019-12-31,3,,,,-0.15215214854043227
balanced,1,2010-01-01,2012-12-31,36,0.4655652529236662,0.8572274961696229,-0.06004054406148429,0.23624824286588939
balanced,2,2014-01-01,2016-12-31,36,0.36682400764040723,0.8429412848693895,-0.058484284025199784,0.14146761541675992
balanced,3,2018-01-01,2019-12-31,24,-0.3549348875557803,0.760849878011444,-0.10279725236306836,-0.5708466701494084
balanced,median,2010-01-01,2019-12-31,3,,,,0.14146761541675992
assertive,1,2010-01-01,2012-12-31,36,0.7482222315498043,0.9201870796534332,-0.05884898893110302,0.5034632144036703
assertive,2,2014-01-01,2016-12-31,36,0.4145646408502103,0.8957414226289379,-0.05649923672866397,0.17650447601080982
assertive,3,2018-01-01,2019-12-31,24,-0.26174149335774416,0.8339875835340657,-0.10231932081962791,-0.49581821944616755
assertive,median,2010-01-01,2019-12-31,3,,,,0.17650447601080982
