sector,horizon_months,months,mean_rank_ic
13.0,1,157,-0.0031919633554070436
13.0,3,154,0.007883265265077991
13.0,6,150,0.023627555723880447
13.0,12,141,0.020939357567330702
20.0,1,179,0.005671722254057867
20.0,3,177,0.012742999337262712
20.0,6,174,0.023692653354058752
20.0,12,168,0.018283673566396083
28.0,1,179,0.013290410091808707
28.0,3,177,0.01733552019473114
28.0,6,174,0.028856639743384566
28.0,12,168,0.02841380464524749
34.0,1,5,-0.09842788790157209
34.0,3,5,-0.029596719070403277
34.0,6,5,0.17762132604237868
34.0,12,1,0.07218045112781954
35.0,1,179,-0.0063577529244318596
35.0,3,177,-0.0035394083550799073
35.0,6,174,0.006155968832754077
35.0,12,168,0.011619056614949316
36.0,1,179,0.014302683106468908
36.0,3,177,0.0308165550079831
36.0,6,174,0.03741221145269983
36.0,12,168,0.04556641608381747
37.0,1,168,0.006967625280673606
37.0,3,165,0.01640392266827468
37.0,6,159,0.005492118914193606
37.0,12,149,0.0129198651819191
38.0,1,179,0.0008897740387928875
38.0,3,177,0.005626285678629995
38.0,6,174,0.009564406399477414
38.0,12,168,-0.010856887404573575
48.0,1,152,-0.013208534692825069
48.0,3,151,0.003290124479345128
48.0,6,150,-0.012870307202109355
48.0,12,147,-0.028288526096190463
49.0,1,179,0.012450111659562791
49.0,3,177,0.03295333345565893
49.0,6,174,0.040845225447688385
49.0,12,168,0.06392094990722007
50.0,1,89,-0.014839033885201192
50.0,3,83,-0.030301188125661047
50.0,6,76,-0.03951165973240003
50.0,12,67,-0.056912517279065114
56.0,1,2,-0.1903622693096377
56.0,3,2,-0.29114832535885166
56.0,6,2,-0.3739576213260424
56.0,12,2,-0.41893369788106627
60.0,1,179,-0.005552988718227088
60.0,3,177,-0.014756646905935497
60.0,6,174,-0.02312543744995286
60.0,12,168,-0.04636459933768299
62.0,1,179,-0.012576485072554006
62.0,3,177,-0.013598567725717844
62.0,6,174,-0.0060880242897761155
62.0,12,168,-0.013033721208552965
63.0,1,179,-0.0003451228482256077
63.0,3,177,-0.0015811010395215437
63.0,6,174,-0.022795225564388955
63.0,12,168,-0.04483387730538906
67.0,1,12,0.19669043516869603
67.0,3,12,0.2227911621389882
67.0,6,12,0.35094160331574514
67.0,12,12,0.2470398177549207
73.0,1,179,0.0063190340014051384
73.0,3,177,0.004236905395077791
73.0,6,174,0.011056380759226467
73.0,12,168,0.01839771286012994
87.0,1,77,0.014157457449382908
87.0,3,68,0.03166341801958978
87.0,6,63,0.11394503574954702
87.0,12,51,0.23406510929730742
99.0,1,139,0.04439808562541721
99.0,3,137,0.07719224816352174
99.0,6,134,0.10506896290302438
99.0,12,128,0.1344576959118668
