feature,horizon_months,months,mean_development_rank_ic
INVESTMENT_SCORE,1,120,-0.0026164086458862427
INVESTMENT_SCORE,3,120,-0.0022032696872547556
INVESTMENT_SCORE,6,120,-0.00266126888635348
INVESTMENT_SCORE,12,120,-0.0023221455910993876
LV_SCORE,1,120,0.010161375931098076
LV_SCORE,3,120,0.022289630359705014
LV_SCORE,6,120,0.03976900267318868
LV_SCORE,12,120,0.05561116186589477
MOM_SCORE,1,120,0.009808544603270537
MOM_SCORE,3,120,0.013485607833736257
MOM_SCORE,6,120,0.022103995393893506
MOM_SCORE,12,120,0.02865031880398495
QUALITY_SCORE,1,120,0.007711142421559348
QUALITY_SCORE,3,120,0.014069078055129247
QUALITY_SCORE,6,120,0.02189305479460762
QUALITY_SCORE,12,120,0.03297574972225162
VALUE_SCORE,1,120,-0.009317728260438427
VALUE_SCORE,3,120,-0.016017519577512084
VALUE_SCORE,6,120,-0.021085275435002486
VALUE_SCORE,12,120,-0.029197715282803276
