date,turnover,solver,solver_status,objective_value,exit_turnover,eligible_names,buffered_holdings,minimum_position_cap
2010-01-29,1.9999998395099206,CLARABEL,optimal,0.012074721544916388,0.0,200,0,0.00048728700000000004
2010-02-26,0.749999587637,CLARABEL,optimal,0.014302525365418976,0.07114771933249392,241,41,0.0005001570000000001
2010-03-31,0.749999952443414,CLARABEL,optimal,0.01405148582963766,0.10327737218711007,258,58,0.00054089
2010-04-30,0.6129540894135179,CLARABEL,optimal,0.015371459924579133,0.05341991056643003,236,36,0.0005759325
2010-05-28,0.7499995903187011,CLARABEL,optimal,0.014986075718667523,0.14269877700707212,239,39,0.000797328
2010-06-30,0.6867918637088517,CLARABEL,optimal,0.015048810932507178,0.04291071108160815,238,38,0.000820954
2010-07-30,0.49324032737251844,CLARABEL,optimal,0.015982307563147974,0.032389218091257305,226,26,0.000820954
2010-08-31,0.46239525574055207,CLARABEL,optimal,0.016005533795850933,0.048976238702081974,228,28,0.0007678605
2010-09-30,0.34665913062785114,CLARABEL,optimal,0.01633432882588223,0.08457062491449126,222,22,0.000671466
2010-10-29,0.3902426197520008,CLARABEL,optimal,0.01631427065746708,0.03749135390900847,219,19,0.00055746
2010-11-30,0.49492087340445123,CLARABEL,optimal,0.015855117644332714,0.041244126865752774,230,30,0.00047746200000000006
2010-12-31,0.3812503728956991,CLARABEL,optimal,0.015922878594112087,0.05919329351217085,223,23,0.00037497
2011-01-31,0.4127363121006361,CLARABEL,optimal,0.015779898016185546,0.04745482768526542,225,25,0.000359016
2011-02-28,0.6193324194504541,CLARABEL,optimal,0.01571504774188233,0.07727701533668514,229,29,0.000334763
2011-03-31,0.5786540190656799,CLARABEL,optimal,0.015749496093701226,0.06908599592245733,223,23,0.00035568
2011-04-29,0.3952996159058902,CLARABEL,optimal,0.015942283071224483,0.013559535156866939,217,17,0.000404574
2011-05-31,0.5935471472767002,CLARABEL,optimal,0.01620145308805773,0.10870335995662825,220,20,0.000686312
2011-06-30,0.6410754135595766,CLARABEL,optimal,0.016240755660945485,0.11465396864286687,226,26,0.0009231660000000001
2011-07-29,0.6946924443443185,CLARABEL,optimal,0.016223958707797397,0.06267138123817186,229,29,0.0015601170000000002
2011-08-31,0.5774949189097422,CLARABEL,optimal,0.015878055911231606,0.0977942390049915,219,19,0.0022030055000000002
2011-09-30,0.704523491795306,CLARABEL,optimal,0.015864985123902376,0.0714554984084417,223,23,0.0021268095
2011-10-31,0.4887864436637067,CLARABEL,optimal,0.016006387881790884,0.05268568921672899,223,23,0.0015229163149999999
2011-11-30,0.7499989873850662,CLARABEL,optimal,0.016033650370312773,0.11648502291457702,230,30,0.0014748620000000002
2011-12-30,0.4759555586728418,CLARABEL,optimal,0.01686617437502834,0.08800022987347447,214,14,0.0012874120000000001
2012-01-31,0.5839862347178995,CLARABEL,optimal,0.01611906983370991,0.08046355226168223,220,20,0.0010856775
2012-02-29,0.6907147100454523,CLARABEL,optimal,0.015737364184716548,0.10461739429081747,223,23,0.001237138
2012-03-30,0.6390313576266204,CLARABEL,optimal,0.016228989352163194,0.06250773897085907,220,20,0.0006788235
2012-04-30,0.424926533743911,CLARABEL,optimal,0.016449646526181742,0.05732644072228543,215,15,0.000649165
2012-05-31,0.30175243359780557,CLARABEL,optimal,0.01627852113837918,0.033958670008057745,216,16,0.000556032
