research_period,factor_cost_bps,strategy,n_months,annualized_mean,cagr,annualized_volatility,sharpe,maximum_drawdown,hit_rate
development,0.0,combined_risk_scaled,120,0.07626293305743406,0.07662861498254459,0.06676811713902128,1.1422058360376277,-0.05381735735095117,0.6
development,0.0,combined_unlevered,120,0.03813146652871703,0.038234214944596445,0.03338405856951064,1.1422058360376277,-0.026895236782729093,0.6
development,0.0,equal_factor_combination,120,0.031763898586366565,0.03168945490818342,0.032590123631552025,0.9746479929156957,-0.029935354225785415,0.6
development,0.0,factor_sleeve,120,0.034574325023835416,0.03451769507497615,0.034533523601359396,1.0011815018631465,-0.046884035468298224,0.6583333333333333
development,0.0,v4_net,120,0.045968709300345856,0.043958373444171306,0.07608570191886002,0.6041701415775622,-0.1746670079149878,0.6083333333333333
development,50.0,combined_risk_scaled,120,0.06938477046308893,0.06929049068702997,0.06676811713902128,1.0391901619543857,-0.057637935736338686,0.6
development,50.0,combined_unlevered,120,0.03469238523154446,0.03468021501406726,0.03338405856951064,1.0391901619543857,-0.028853433560957487,0.6
development,50.0,equal_factor_combination,120,0.02832481728919401,0.028156007351871404,0.032590123631552025,0.869122732071241,-0.031888291019645854,0.5916666666666667
development,50.0,factor_sleeve,120,0.029574325023835415,0.029371231547477228,0.034533523601359396,0.8563946548064164,-0.04800745396817918,0.65
development,50.0,v4_net,120,0.045968709300345856,0.043958373444171306,0.07608570191886002,0.6041701415775622,-0.1746670079149878,0.6083333333333333
development,100.0,combined_risk_scaled,120,0.06250660786874382,0.061998238442658504,0.06676811713902128,0.9361744878711442,-0.06144528417056572,0.5916666666666667
development,100.0,combined_unlevered,120,0.03125330393437191,0.03113737012684581,0.03338405856951064,0.9361744878711442,-0.030808251837302403,0.5916666666666667
development,100.0,equal_factor_combination,120,0.02488573599202145,0.02463365614970936,0.032590123631552025,0.7635974712267861,-0.03588308933047479,0.5916666666666667
development,100.0,factor_sleeve,120,0.02457432502383542,0.02424824637104961,0.034533523601359396,0.7116078077496866,-0.0500087692085418,0.6416666666666667
development,100.0,v4_net,120,0.045968709300345856,0.043958373444171306,0.07608570191886002,0.6041701415775622,-0.1746670079149878,0.6083333333333333
development,150.0,combined_risk_scaled,120,0.0556284452743987,0.05475159742323332,0.06676811713902128,0.8331588137879026,-0.06523944085054711,0.5916666666666667
development,150.0,combined_unlevered,120,0.02781422263719935,0.027605648444418263,0.03338405856951064,0.8331588137879026,-0.03275969647056032,0.5916666666666667
development,150.0,equal_factor_combination,120,0.021446654694848886,0.021122369614058778,0.03259012363155202,0.6580722103823313,-0.04030474286233521,0.5833333333333334
development,150.0,factor_sleeve,120,0.019574325023835416,0.019148642134256155,0.034533523601359396,0.5668209606929564,-0.052006717299347915,0.6333333333333333
development,150.0,v4_net,120,0.045968709300345856,0.043958373444171306,0.07608570191886002,0.6041701415775622,-0.1746670079149878,0.6083333333333333
embargo,0.0,combined_risk_scaled,12,0.00588738519115346,-0.00106779049874961,0.12295929543155981,0.04788076550447077,-0.07027292049096712,0.5
embargo,0.0,combined_unlevered,12,0.00294369259557673,0.0012090013665726485,0.061479647715779906,0.04788076550447077,-0.03543875688445408,0.5
embargo,0.0,equal_factor_combination,12,-0.006181663387217682,-0.007612396259993992,0.0563191290790814,-0.10976134553745676,-0.03201652828095469,0.5
embargo,0.0,factor_sleeve,12,0.03006714199849944,0.02781782086770379,0.07484410891404675,0.4017302421628062,-0.0440473824585087,0.6666666666666666
embargo,0.0,v4_net,12,-0.0568158242757576,-0.060761602628852995,0.11206115890024211,-0.5070072881035933,-0.11340414918149877,0.4166666666666667
embargo,50.0,combined_risk_scaled,12,-0.0009907774031916727,-0.007921575465410502,0.12295929543155981,-0.008057767407614562,-0.0719102481103695,0.5
embargo,50.0,combined_unlevered,12,-0.0004953887015958364,-0.0022289673858609804,0.061479647715779906,-0.008057767407614562,-0.03627788432635726,0.5
embargo,50.0,equal_factor_combination,12,-0.009620744684390226,-0.01102250531626936,0.0563191290790814,-0.1708255230808187,-0.03285763442748191,0.5
embargo,50.0,factor_sleeve,12,0.025067141998499444,0.022701057092701316,0.07484410891404675,0.33492471701797283,-0.04446404912517532,0.6666666666666666
embargo,50.0,v4_net,12,-0.0568158242757576,-0.060761602628852995,0.11206115890024211,-0.5070072881035933,-0.11340414918149877,0.4166666666666667
embargo,100.0,combined_risk_scaled,12,-0.007868939997536736,-0.014732234450438142,0.12295929543155981,-0.06399630031969933,-0.07354565261519341,0.5
embargo,100.0,combined_unlevered,12,-0.003934469998768368,-0.005656111748038373,0.061479647715779906,-0.06399630031969933,-0.03711652497726792,0.5
embargo,100.0,equal_factor_combination,12,-0.01305982598156277,-0.014421869990217773,0.0563191290790814,-0.2318897006241806,-0.03369825321088915,0.5
embargo,100.0,factor_sleeve,12,0.02006714199849946,0.01760765202647363,0.07484410891404675,0.26811919187313965,-0.04488071579184194,0.6666666666666666
embargo,100.0,v4_net,12,-0.0568158242757576,-0.060761602628852995,0.11206115890024211,-0.5070072881035933,-0.11340414918149877,0.4166666666666667
embargo,150.0,combined_risk_scaled,12,-0.014747102591881903,-0.021500014260886102,0.12295929543155981,-0.11993483323178494,-0.07517913513529917,0.5
embargo,150.0,combined_unlevered,12,-0.007373551295940951,-0.009072462710218776,0.061479647715779906,-0.11993483323178494,-0.03795467897841842,0.5
embargo,150.0,equal_factor_combination,12,-0.01649890727873535,-0.01781052106525327,0.0563191290790814,-0.2929538781675432,-0.03453838477240856,0.5
embargo,150.0,factor_sleeve,12,0.015067141998499435,0.01253750869117165,0.07484410891404675,0.2013136667283059,-0.04529738245850867,0.6666666666666666
embargo,150.0,v4_net,12,-0.0568158242757576,-0.060761602628852995,0.11206115890024211,-0.5070072881035933,-0.11340414918149877,0.4166666666666667
temporal_assessment,0.0,combined_risk_scaled,47,0.10764308712626149,0.10865895210599863,0.09150215513603069,1.1763994735013077,-0.11851093935102353,0.6170212765957447
temporal_assessment,0.0,combined_unlevered,47,0.05382154356313074,0.05410067354136272,0.045751077568015344,1.1763994735013077,-0.06051325443293332,0.6170212765957447
temporal_assessment,0.0,equal_factor_combination,47,0.04825754896672368,0.04828960373422175,0.04543857967679575,1.0620391154384496,-0.07070466333467162,0.6382978723404256
temporal_assessment,0.0,factor_sleeve,47,0.05334468098080317,0.05324331481422262,0.05283266486474988,1.0096912793886896,-0.06349654604731003,0.6808510638297872
temporal_assessment,0.0,v4_net,47,0.05487218712658703,0.05305521084816189,0.07905612806346266,0.6940915077770838,-0.12391022166986887,0.5957446808510638
temporal_assessment,50.0,combined_risk_scaled,47,0.10076492453191638,0.10111976077885121,0.09150215513603067,1.101230068101842,-0.12210646942156367,0.6170212765957447
temporal_assessment,50.0,combined_unlevered,47,0.05038246226595819,0.050496772897619335,0.04575107756801534,1.101230068101842,-0.06241331803828376,0.6170212765957447
temporal_assessment,50.0,equal_factor_combination,47,0.04481846766955111,0.0447039254276147,0.04543857967679575,0.9863527422807778,-0.07258703937788735,0.6382978723404256
temporal_assessment,50.0,factor_sleeve,47,0.04834468098080318,0.048011174364311016,0.05283266486474988,0.9150528580105546,-0.06547188695472284,0.6382978723404256
temporal_assessment,50.0,v4_net,47,0.05487218712658703,0.05305521084816189,0.07905612806346266,0.6940915077770838,-0.12391022166986887,0.5957446808510638
temporal_assessment,100.0,combined_risk_scaled,47,0.09388676193757126,0.0936275895120422,0.09150215513603067,1.026060662702376,-0.12568942226426927,0.6170212765957447
temporal_assessment,100.0,combined_unlevered,47,0.04694338096878563,0.04690417000829217,0.04575107756801534,1.026060662702376,-0.06431008693560614,0.6170212765957447
temporal_assessment,100.0,equal_factor_combination,47,0.041379386372378535,0.041129492914438126,0.04543857967679575,0.9106663691231058,-0.07446614630123705,0.5957446808510638
temporal_assessment,100.0,factor_sleeve,47,0.04334468098080317,0.04280286877244066,0.05283266486474988,0.8204144366324191,-0.06744389339146228,0.6170212765957447
temporal_assessment,100.0,v4_net,47,0.05487218712658703,0.05305521084816189,0.07905612806346266,0.6940915077770838,-0.12391022166986887,0.5957446808510638
temporal_assessment,150.0,combined_risk_scaled,47,0.08700859934322612,0.08618217157721952,0.09150215513603069,0.9508912573029097,-0.12928505915374155,0.6170212765957447
temporal_assessment,150.0,combined_unlevered,47,0.04350429967161306,0.04332283266744352,0.045751077568015344,0.9508912573029097,-0.06620356588704623,0.6170212765957447
temporal_assessment,150.0,equal_factor_combination,47,0.037940305075206,0.037566274122140086,0.04543857967679575,0.8349799959654347,-0.07634198883724341,0.5957446808510638
temporal_assessment,150.0,factor_sleeve,47,0.03834468098080317,0.03761829929155125,0.05283266486474988,0.7257760152542837,-0.07002597374648856,0.5957446808510638
temporal_assessment,150.0,v4_net,47,0.05487218712658703,0.05305521084816189,0.07905612806346266,0.6940915077770838,-0.12391022166986887,0.5957446808510638
