factor,horizon_days,IC_mean,IC_std,t_stat,p_value,p_bonferroni,ICIR,hit_rate,n_periods,significant
MOM,5,0.009,0.0978,0.9,0.3704,1.0,0.092,0.521,96,False
MOM,21,0.0042,0.1097,0.371,0.7115,1.0,0.038,0.51,96,False
MOM,63,0.0023,0.1149,0.197,0.8443,1.0,0.02,0.468,94,False
MOM,126,-0.0089,0.1052,-0.804,0.4235,1.0,-0.084,0.473,91,False
LV,5,0.0254,0.1151,2.162,0.0331,0.7947,0.221,0.625,96,False
LV,21,0.0249,0.1136,2.149,0.0342,0.8205,0.219,0.625,96,False
LV,63,0.0351,0.1099,3.096,0.0026,0.0622,0.319,0.617,94,False
LV,126,0.0513,0.1139,4.3,0.0,0.001,0.451,0.67,91,True
SIZE,5,-0.0053,0.1145,-0.457,0.649,1.0,-0.047,0.469,96,False
SIZE,21,0.0062,0.1132,0.536,0.5931,1.0,0.055,0.49,96,False
SIZE,63,0.0081,0.1252,0.625,0.5338,1.0,0.064,0.511,94,False
SIZE,126,0.0084,0.141,0.566,0.5726,1.0,0.059,0.495,91,False
VAL,5,-0.0091,0.1044,-0.854,0.3951,1.0,-0.087,0.49,96,False
VAL,21,-0.0013,0.1101,-0.111,0.9115,1.0,-0.011,0.469,96,False
VAL,63,0.0034,0.1107,0.299,0.7655,1.0,0.031,0.5,94,False
VAL,126,0.0119,0.1079,1.048,0.2972,1.0,0.11,0.549,91,False
QUAL,5,0.0233,0.1145,1.996,0.0488,1.0,0.204,0.615,96,False
QUAL,21,0.0254,0.1123,2.215,0.0291,0.6991,0.226,0.635,96,False
QUAL,63,0.0358,0.1086,3.201,0.0019,0.045,0.33,0.628,94,True
QUAL,126,0.0513,0.1117,4.378,0.0,0.0008,0.459,0.692,91,True
COMPOSITE,5,0.0209,0.1097,1.87,0.0646,1.0,0.191,0.604,96,False
COMPOSITE,21,0.023,0.1106,2.037,0.0445,1.0,0.208,0.552,96,False
COMPOSITE,63,0.0327,0.1102,2.873,0.005,0.121,0.296,0.617,94,False
COMPOSITE,126,0.0471,0.1115,4.032,0.0001,0.0028,0.423,0.703,91,True
