factor,primary_horizon_months,era,n_months,mean_ic,hac_t_stat,p_value,hit_rate,expected_sign,expected_direction_observed
COMPOSITE,12,1990s,120,0.028325414327011928,1.7337645042730117,0.08295987611510955,0.6416666666666667,1,True
COMPOSITE,12,2000s,120,0.08422651324570941,2.5485595443375626,0.010816881934908994,0.7583333333333333,1,True
COMPOSITE,12,2010s,120,0.01982170466808716,1.0613686242938511,0.2885224100190692,0.6166666666666667,1,True
COMPOSITE,12,2020s,48,0.028149792170540863,1.297112794332437,0.19459237993603584,0.625,1,True
INVESTMENT,12,1990s,120,0.02989366087557401,2.074208503197902,0.038059950865208275,0.7,1,True
INVESTMENT,12,2000s,120,0.021005238256873827,2.60293412058341,0.009242971285548084,0.6666666666666666,1,True
INVESTMENT,12,2010s,120,-0.0023221455910993885,-0.1911224621675911,0.8484296497415271,0.4166666666666667,1,False
INVESTMENT,12,2020s,48,0.01269922084031729,0.5667939598031125,0.5708541748133187,0.5416666666666666,1,True
LV,12,1990s,120,0.015596199473952242,0.9404673255968833,0.3469779021276558,0.575,1,True
LV,12,2000s,120,0.08108802951951354,2.00499966451678,0.044963082901553805,0.675,1,True
LV,12,2010s,120,0.05561116186589478,2.288322649533919,0.022118738456427926,0.625,1,True
LV,12,2020s,48,0.0049957074135099765,0.1108296537795105,0.9117514298880833,0.6458333333333334,1,True
MOM,6,1990s,120,0.05090523481652507,3.4289071542591794,0.0006060168016644539,0.6916666666666667,1,True
MOM,6,2000s,120,-0.028788037847280176,-1.0836951458620667,0.2784999885829178,0.5166666666666667,1,False
MOM,6,2010s,120,0.022103995393893506,1.5815931377085322,0.11374248159901802,0.575,1,True
MOM,6,2020s,54,0.000775549861594593,0.026295516295245607,0.9790216311543343,0.5185185185185185,1,True
QUALITY,12,1990s,120,0.008255360642197892,0.5976486094427264,0.5500744223907819,0.5833333333333334,1,True
QUALITY,12,2000s,120,0.04520787224471154,2.65148387849292,0.008013893871462256,0.6666666666666666,1,True
QUALITY,12,2010s,120,0.03297574972225162,1.3373566898810112,0.18110623452273122,0.6666666666666666,1,True
QUALITY,12,2020s,48,0.03832091086342777,1.8535117535074523,0.06380904307877448,0.6666666666666666,1,True
SIZE,12,1990s,120,-0.04361743465125204,-1.8828609612846958,0.059719212958183485,0.3,1,False
SIZE,12,2000s,120,0.03269510411324807,1.960520861781464,0.04993494205537847,0.6416666666666667,1,True
SIZE,12,2010s,120,-0.04252981370625583,-2.2459579242568424,0.024706703097764432,0.2833333333333333,1,False
SIZE,12,2020s,48,-0.036151390064673716,-1.4786503180693518,0.13923379697957167,0.25,1,False
VALUE,12,1990s,120,0.03495778038441151,1.7171748528647885,0.08594722880323778,0.6666666666666666,1,True
VALUE,12,2000s,120,0.046043998630745216,1.6410656269049404,0.1007837930056316,0.65,1,True
VALUE,12,2010s,120,-0.029197715282803276,-1.1242834303124518,0.2608928054360793,0.39166666666666666,1,False
VALUE,12,2020s,48,0.0689555759011644,1.6991469206784853,0.08929150455436576,0.6666666666666666,1,True
