period,signal,strategy,cost_bps,n_months,cagr,annualized_volatility,sharpe,max_drawdown,hit_rate,average_monthly_turnover,benchmark_cagr,information_ratio_vs_benchmark,alpha_annualized,beta
development,COMPOSITE,long_only,0.0,168,0.13193089321650864,0.1735484593917457,0.8044530791223522,-0.27098001113357884,0.6309523809523809,0.39789981132888824,0.13562980025054072,0.008151186638935437,-0.011023417792703168,1.0828220258860954
development,COMPOSITE,long_only,10.0,168,0.12659668094156307,0.1734918521433948,0.7771938170746953,-0.27196584539655144,0.625,0.39789981132888824,0.13562980025054072,-0.07002618007297771,-0.015757737274081217,1.0825310527217489
development,COMPOSITE,long_only,25.0,168,0.11863839386458985,0.17340782209319675,0.7362678145288392,-0.2777756856989886,0.625,0.39789981132888824,0.13562980025054072,-0.18753912802521103,-0.02285921649614823,1.0820945929752288
development,COMPOSITE,long_short,0.0,168,0.01830816198533114,0.0687614394203119,0.2981562053300786,-0.17600421963850965,0.5476190476190477,0.738823119974127,0.13562980025054072,-0.649341979279946,0.03895395924670589,-0.1326422522835585
development,COMPOSITE,long_short,10.0,168,0.009330642706040226,0.06872835481929648,0.16930090122916544,-0.20134795636169645,0.5238095238095238,0.738823119974127,0.13562980025054072,-0.697709731569552,0.030151640084979753,-0.1330991334770911
development,COMPOSITE,long_short,25.0,168,-0.004000165508007636,0.0686860853285241,-0.024212236593121154,-0.2723219004722416,0.5119047619047619,0.738823119974127,0.13562980025054072,-0.7702059286074826,0.016948161342390543,-0.13378445526738994
development,LV,long_only,0.0,168,0.12736482306220753,0.14679086001059902,0.8940849448517315,-0.22737924572740043,0.6845238095238095,0.31521243618615913,0.13644457537451182,-0.23110760810626196,-0.0006586344419039977,0.9428467312652936
development,LV,long_only,10.0,168,0.1231433268279658,0.1468035236170774,0.8682417533488508,-0.2280318373017286,0.6726190476190477,0.31521243618615913,0.13644457537451182,-0.3320836859919758,-0.004451705557591938,0.9429219424946628
development,LV,long_only,25.0,168,0.11683795908537964,0.14682426739294566,0.8294754474462391,-0.22901021973225477,0.6666666666666666,0.31521243618615913,0.13644457537451182,-0.4834192390047287,-0.01014131223112387,0.943034759338717
development,LV,long_short,0.0,168,-0.008579306790229224,0.12105450463290511,-0.01066599219016281,-0.37777187588330274,0.49404761904761907,0.6485933442303737,0.13644457537451182,-0.5841384127597085,0.06335726440020795,-0.4621120261242033
development,LV,long_short,10.0,168,-0.01628098819642798,0.12106950914026213,-0.07495104751147771,-0.400217722597631,0.48214285714285715,0.6485933442303737,0.13644457537451182,-0.6163811802891105,0.05553860417180882,-0.4618579827340845
development,LV,long_short,25.0,168,-0.02773163480518448,0.12109947634481197,-0.17133820355118906,-0.43240533825022154,0.4642857142857143,0.6485933442303737,0.13644457537451182,-0.6647432506123268,0.0438106138292101,-0.46147691764890625
development,MOM,long_only,0.0,168,0.12855620483208385,0.18564867434124405,0.7468332940803193,-0.2558897383755365,0.6190476190476191,0.518845750900505,0.13694774174100477,-0.021520185114569587,-0.019216776098274393,1.124985847581313
